,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,category,organization_type2,State_name_c,State_name,State_abv,State
675,89,235232,Choral Arts,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14594,Washington,,155677,8.36,Executive Director,91411,87.28,250463,5524502,"Arts, Culture, Humanities : Performing Arts ",521820,88.1,0,1374894,DC,852010.0,"Arts, Culture, Humanities ", Performing Arts ,DISTRICT OF COLUMBIA,District of Columbia,DC,11.0
676,81,208219,The Children's Place,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15347,Kansas City,,102560,3.47,"President, CEO",533551,93.5,318379,3611677,Human Services : Children's and Family Services ,-31796,85.8,0,2422753,MO,3513762.0,Human Services , Children's and Family Services ,MISSOURI,Missouri,MO,29.0
677,100,823750,Children's Organ Transplant Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9891,Bloomington,,219000,3.74,Chief Executive Officer,1294141,98.13,297879,32378932,Health : Patient and Family Support ,1625343,98.67,0,4730426,IN,5520853.0,Health , Patient and Family Support ,INDIANA,Indiana,IN,18.0
678,100,165460,Children's Shelter of Cebu,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5337,Cambridge,,84335,4.34,President,-5306,87.98,124114,899042,International : Development and Relief Services ,20932,91.5,0,1649403,MN,1912739.0,International , Development and Relief Services ,MINNESOTA,Minnesota,MN,27.0
679,85,423171,Children's Museum of Tacoma,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12112,Tacoma,,87563,4.9,Executive Director,-175807,72.45,292140,2391796,"Arts, Culture, Humanities : Museums ",-54695,77.81,0,1071544,WA,1082398.0,"Arts, Culture, Humanities ", Museums ,WASHINGTON,Washington,WA,53.0
680,92,376616,Children's Museum of Richmond,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5384,Richmond,,"President, CEO",-486615.0,87.8,75571,6555264.0,"Arts, Culture, Humanities : Museums ",70238,89.68,0,3647485.0,VA,1888189,,,,,,,,
681,81,322584,Children's Museum of the East End,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16030,Bridgehampton,,94000,5.9,Executive Director,-215192,69.09,207242,2594682,"Arts, Culture, Humanities : Museums ",207,74.34,0,1062560,NY,1256919.0,"Arts, Culture, Humanities ", Museums ,NEW YORK,New York,NY,36.0
682,96,1291648,Children's Museum of Manhattan,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4964,New York,,241250,3.77,Executive Director,-365231,85.99,411410,6552530,"Arts, Culture, Humanities : Museums ",19184,89.69,0,4693861,NY,5401486.0,"Arts, Culture, Humanities ", Museums ,NEW YORK,New York,NY,36.0
683,96,114532,CHIP of Roanoke Valley,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14559,Roanoke,,102154,5.58,Chief Executive Officer,-40002,89.33,120503,3858703,Human Services : Children's and Family Services ,119176,91.94,0,1593436,VA,1356825.0,Human Services , Children's and Family Services ,VIRGINIA,Virginia,VA,51.0
684,92,408774,The Children's Museum of Memphis,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14897,Memphis,,283530,9.64,CEO,-234762,95.59,250136,9380712,"Arts, Culture, Humanities : Museums ",189274,93.54,0,2279299,TN,1526958.0,"Arts, Culture, Humanities ", Museums ,TENNESSEE,Tennessee,TN,47.0
685,92,1869057,Children's Museum of Pittsburgh,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8947,Pittsburgh,,217718,2.54,Executive Director,148721,89.43,345013,23324929,"Arts, Culture, Humanities : Museums ",403037,90.62,0,6345359,PA,4584794.0,"Arts, Culture, Humanities ", Museums ,PENNSYLVANIA,Pennsylvania,PA,42.0
686,89,839067,Children's Museum of Denver at Marsico Campus,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7712,Denver,,202955,3.54,"President, CEO",2087529,91.51,725147,20624658,"Arts, Culture, Humanities : Museums ",291018,90.17,0,4158777,CO,4434000.0,"Arts, Culture, Humanities ", Museums ,COLORADO,Colorado,CO,7.0
687,93,1384216,Children's Museum of Houston,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6545,Houston,,174680,1.37,Executive Director,-1570837,92.03,598750,38780222,"Arts, Culture, Humanities : Museums ",1043279,92.49,0,10679790,TX,5737762.0,"Arts, Culture, Humanities ", Museums ,TEXAS,Texas,TX,48.0
688,89,569721,Children's Museum & Theatre of Maine,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15537,Portland,,112089,7.18,Executive Director,-230469,75.63,136139,1889686,"Arts, Culture, Humanities : Museums ",10114,81.09,0,853749,ME,691712.0,"Arts, Culture, Humanities ", Museums ,MAINE,Maine,ME,23.0
689,100,3146112,Children's Miracle Network Hospitals,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5756,Salt Lake City,,599692,1.28,"President, CEO",-1403292,82.5,1391104,22643228,Health : Treatment and Prevention Services ,2921289,87.62,0,42086309,UT,6642541.0,Health , Treatment and Prevention Services ,UTAH,Utah,UT,49.0
